Unnamed: 0,coordinates,date,hashtags,language,source,text,user,Category
0,,Tue Feb 05 18:04:26 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Remember last week when Trump joked that we could use some global warming. hahaha. 

It’s 70 degrees in DC right now.",samstein,activism
1,,Wed Feb 06 02:52:57 +0000 2019,"[{'text': 'SOTU', 'indices': [29, 34]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global wa… https://t.co/1hI6w3Wqg7",NRDC,activism
2,,Tue Feb 05 10:43:37 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Like global warming, the descent from democracy to dictatorship may start gradually but can accelerate rapidly and… https://t.co/dr6J9DQThF",tribelaw,activism
3,,Wed Feb 06 04:24:44 +0000 2019,"[{'text': 'SOTU', 'indices': [39, 44]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NRDC: We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global warming
Global w…",AFireSign_,activism
4,,Wed Feb 06 04:24:39 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Gngerbrdgrl: U.N. Official Admits Global Warming Agenda Is Really About Destroying Capitalism | Zero Hedge https://t.co/7lApTpnsUB,cantsayurnamela,activism
5,,Wed Feb 06 04:24:33 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@SenSanders Well, to be fair, he did call for the return of global warming the other day because the weather changed.",metal_kevy,activism
6,,Wed Feb 06 04:24:33 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MargaretOrr 
Now 45 in Vegas 
We need global warming",BigGeorgeSATX,activism
7,,Wed Feb 06 04:24:32 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jocelinehyfr: and y’all still don’t believe in global warming https://t.co/K2uWWoKwVV,No_Low_Renzo,activism
8,,Wed Feb 06 04:24:26 +0000 2019,"[{'text': 'SOTU', 'indices': [39, 44]}]",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NRDC: We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global warming
Global w…",Pyewackett406,activism
9,,Wed Feb 06 04:24:26 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @KendraWrites: New England's lakes used to freeze so thoroughly that they would cut blocks of it thick enough to survive being shipped t…,empatikka,activism
10,,Wed Feb 06 04:24:26 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@AOC I thought it was global warming?,AndyDandyBitch,activism
