Unnamed: 0,coordinates,date,hashtags,language,source,text,user,Category
0,,2/13/2019 14:00,[],en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Personal Trainer Impressed By Man’s Improved Excuses https://t.co/fA964N7sVp https://t.co/q5PPkhBAGA,TheOnion,fitness
1,,2/15/2019 2:02,[],en,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>",The personal trainer to the fashion set shares 8 moves to help you achieve your fitness goals 💪 https://t.co/PcR2mTW4Yq,harpersbazaarus,fitness
2,,2/12/2019 3:48,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",zane and todd when they told me they were going to start working out with a personal trainer https://t.co/k0fkcdWYoD,ImNotScottySire,fitness
3,,2/15/2019 17:12,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Looking for a personal trainer to confuse your body? Then you should reach out to ObedAdofo in London, England! Fin… https://t.co/jSPf08UChv",TrainerConNet,fitness
4,,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@kwelbyroberts Ha ha! I’m pretty sure from the whole convo he was a personal trainer. It would have been impressive if it was all code!,mamawillmot,fitness
5,,2/15/2019 17:08,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@panthersgym Dear Madam.I am a 44 year-old UK certified fitness instructor &amp; weight-lifting instructor who has work… https://t.co/HZqkQnV2hb,WriterLad,fitness
6,,2/15/2019 17:03,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@underdwell Maybe we should hit the gym together. I'd like to be your personal trainer. [Lips curl up into a playful grin],IustbIiss,fitness
7,,2/15/2019 17:01,"[{'text': 'trainwreckdebar', 'indices': [43, 59]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I need a life coach and a personal trainer #trainwreckdebar,hollaitsdebs69,fitness
8,,2/15/2019 17:00,"[{'text': 'deadlifting', 'indices': [13, 25]}]",en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Some SERIOUS #deadlifting going on here today! 💪💥

How often do you deadlift? RETWEET to let us know! 🔥
----------… https://t.co/WP5AkOWqfk",Origym_COE,fitness
9,,2/15/2019 17:00,"[{'text': 'tips', 'indices': [81, 86]}, {'text': 'fitness', 'indices': [87, 95]}, {'text': 'gym', 'indices': [96, 100]}]",en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",5 Helpful Tips for Choosing the Perfect Personal Trainer https://t.co/NJzAUSi2FR #tips #fitness #gym https://t.co/RUJrCdjPo5,hbhowto,fitness
