,coordinates,date,hashtags,language,source,text,user
0,,Wed Feb 13 14:00:39 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Ob… https://t.co/lYXuWGorIt,gatewaypundit
1,,Wed Feb 13 12:30:00 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","The five terrorists who were dubbed the ""Taliban Dream Team"" — &amp; were released from Guantanamo Bay back in 2014 by… https://t.co/r2wpCFWtyb",JudicialWatch
2,,Wed Feb 13 03:49:13 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","President Trump needs about $25 billion for a wall to protect America from foreign invaders.

One reason he doesn't… https://t.co/BKcnVRAgQJ",DavidWohl
3,,Wed Feb 13 17:35:19 +0000 2019,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @WallyG1: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama (He bel…,kp9409
4,,Wed Feb 13 17:35:09 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mmpadellan: I want to thank @realDonaldTrump for reminding us DAILY what a real, intelligent, caring, charismatic, cool, honest, dignif…",PirateWench
5,,Wed Feb 13 17:35:07 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @BlueSea1964: 🚨 The Russia Collusion Sham: More And More Evidence Leads Back To The Most Corrupt President Ever - Barack Hussein Obama!!…,walkhikecamp
6,,Wed Feb 13 17:34:52 +0000 2019,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @1Romans58: Barry was the crime boss of the deep state, he must be held accountable. 

The Russia Collusion Sham: More and More Evidence…",IsidorMeyer1
7,,Wed Feb 13 17:34:51 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Ob… https://t.co/FCzIRv9XZs,donnaet5
8,,Wed Feb 13 17:34:44 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @KatTheHammer1: Barack Obama caught on hot mic speaking to Dimitry Medvedev: 

""This is last election.  After my election I have more fl…",pmbmklem
9,,Wed Feb 13 17:34:38 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JoeFreedomLove: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama…,LorrieUScitizen
