Unnamed: 0,coordinates,date,hashtags,language,source,text,user,Category
0,,Wed Feb 13 14:00:39 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Ob… https://t.co/lYXuWGorIt,gatewaypundit,politics
1,,Wed Feb 13 12:30:00 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","The five terrorists who were dubbed the ""Taliban Dream Team"" — &amp; were released from Guantanamo Bay back in 2014 by… https://t.co/r2wpCFWtyb",JudicialWatch,politics
2,,Wed Feb 13 03:49:13 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","President Trump needs about $25 billion for a wall to protect America from foreign invaders.

One reason he doesn't… https://t.co/BKcnVRAgQJ",DavidWohl,politics
3,,Wed Feb 13 17:35:19 +0000 2019,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @WallyG1: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama (He bel…,kp9409,politics
4,,Wed Feb 13 17:35:09 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mmpadellan: I want to thank @realDonaldTrump for reminding us DAILY what a real, intelligent, caring, charismatic, cool, honest, dignif…",PirateWench,politics
5,,Wed Feb 13 17:35:07 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @BlueSea1964: 🚨 The Russia Collusion Sham: More And More Evidence Leads Back To The Most Corrupt President Ever - Barack Hussein Obama!!…,walkhikecamp,politics
6,,Wed Feb 13 17:34:52 +0000 2019,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @1Romans58: Barry was the crime boss of the deep state, he must be held accountable. 

The Russia Collusion Sham: More and More Evidence…",IsidorMeyer1,politics
7,,Wed Feb 13 17:34:51 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Ob… https://t.co/FCzIRv9XZs,donnaet5,politics
8,,Wed Feb 13 17:34:44 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @KatTheHammer1: Barack Obama caught on hot mic speaking to Dimitry Medvedev: 

""This is last election.  After my election I have more fl…",pmbmklem,politics
9,,Wed Feb 13 17:34:38 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JoeFreedomLove: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama…,LorrieUScitizen,politics
10,,Wed Feb 13 17:34:33 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@iamvictor__ When she must have claimed to be 3rd daughter of Barack Obama! It'd be a colossal damage to her fake p… https://t.co/e9Cv042nRx,E4Emmanuel_,politics
11,,Wed Feb 13 17:34:26 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@mmpadellan @tblucas51 @realDonaldTrump Brooklyn Dad Defiant:
""No matter what you do, trump, you'll NEVER measure u… https://t.co/n3Uva8AO7n",alohatsunami,politics
12,,Wed Feb 13 17:34:21 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @gatewaypundit: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama @…,LeftBiasedMedia,politics
13,,Wed Feb 13 17:34:20 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @brainburp13: Obama was out to stop Donald Trump from being President.

The Russia Collusion Sham: More and More Evidence Leads Back to…",MrDiddy85,politics
14,,Wed Feb 13 17:34:19 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SocialismStench: The Russia Collusion Sham: More &amp;  More evidence Leass back  to the Most Corrupt President Ever - Barack Hussein Obama…,ambinc1,politics
15,,Wed Feb 13 17:34:18 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @vonitambrown: How Barack Obama failed black Americans: https://t.co/xKkMsXRMU8,LTM_RBG_321,politics
16,,Wed Feb 13 17:34:07 +0000 2019,"[{'text': 'Obamagate', 'indices': [19, 29]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @protrumpuk: 🇬🇧 #Obamagate
🇺🇸 The Russia Collusion Sham: More &amp; More Evidence Leads Back to the Most Corrupt President Ever, Barack Huss…",SabatineAnn,politics
17,,Wed Feb 13 17:34:04 +0000 2019,[],en,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @mmpadellan: I want to thank @realDonaldTrump for reminding us DAILY what a real, intelligent, caring, charismatic, cool, honest, dignif…",tjsokewl,politics
18,,Wed Feb 13 17:34:00 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @gatewaypundit: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama @…,miamicanes1,politics
19,,Wed Feb 13 17:33:57 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kerry was invited to these mtgs but not Adm Rogers. Could it be because Rogers, the Director of the NSA, was not pa… https://t.co/r2ItgMKH0O",NvrRyan,politics
20,,Wed Feb 13 17:33:53 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @irritatedwoman: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama…,Swecid,politics
21,,Wed Feb 13 17:33:52 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SocialismStench: The Russia Collusion Sham: More &amp;  More evidence Leass back  to the Most Corrupt President Ever - Barack Hussein Obama…,BlaggDonna,politics
22,,Wed Feb 13 17:33:52 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @gatewaypundit: The Russia Collusion Sham: More and More Evidence Leads Back to the Most Corrupt President Ever - Barack Hussein Obama @…,pikarasukaru,politics
23,,Wed Feb 13 17:33:51 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mmpadellan: I want to thank @realDonaldTrump for reminding us DAILY what a real, intelligent, caring, charismatic, cool, honest, dignif…",G23free,politics
24,,Wed Feb 13 17:33:45 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @1Romans58: Barry was the crime boss of the deep state, he must be held accountable. 

The Russia Collusion Sham: More and More Evidence…",Mywalktorestor1,politics
25,,Tue Feb 12 00:38:47 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Has anyone died yet because of Net Neutrality being repealed?,TrumpStudents,politics
26,,Wed Feb 13 03:41:00 +0000 2019,[],en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Former FCC Chairman @tewheels testified before the House Subcommittee on Communications and Technology on the impor… https://t.co/BF1a2iDiMa,BrookingsInst,politics
27,,Mon Feb 11 22:26:17 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","The big wild card here is net neutrality, honestly. I would GUESS Netflix remains a one-price-gets-you-everything s… https://t.co/L0B3hCk2mE",tvoti,politics
28,,Wed Feb 13 17:34:37 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @didikins4life: Sen. Cory Gardner (R-CO) is an opponent of the Obama-era FCC policies on net neutrality, referring to the regulations as…",buccos4vr,politics
29,,Wed Feb 13 17:33:40 +0000 2019,"[{'text': 'BTLR', 'indices': [69, 74]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @mgeist: Managed to see @Bell executive summary submission to the #BTLR. Plenty of discussion of consumers paying millions for local TV…,MikeBabulic,politics
30,,Wed Feb 13 17:33:36 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cIaiborne: This adderall got me ready to singlehandedly save net neutrality,ry_cot,politics
