coordinates,date,hashtags,language,source,text,user
,2/13/2019 16:58,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Even if you believe global warming is caused by greenhouse gases consider this
If the US got to the point of compli… https://t.co/9gQEx4QcOh",CharlieDaniels
,2/14/2019 9:24,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Rwanda released plan for cooling to mitigate greenhouse gases emissions https://t.co/ksxl0ANn6C The plan regulates… https://t.co/RnOcPVojbX,UNFCCC
,2/15/2019 17:12,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @toryboypierce: Britain has cut greenhouse gases 42 % since 1990 faster than most nations so why are LibDem MPs backing kids skiving off…,Ashley43150503
,2/15/2019 17:08,"[{'text': 'climatechange', 'indices': [81, 95]}, {'text': 'climateaction', 'indices': [96, 110]}]",en,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","How can greenhouse gases be removed from the atmosphere?
https://t.co/fxuOSXH5qq
#climatechange #climateaction https://t.co/BKApMPnT9J",AroundOMedia
,2/15/2019 17:07,[],en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",The State Senate held 3 hearings (one in NYC on 2/14) on the Climate &amp; Community Protection Act (“CCPA”). This act… https://t.co/p7NZqu4ueB,OurWaterfront
,2/15/2019 11:34,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Masses of kids outside parliament right now, carrying homemade placards, protesting against global warming. After l… https://t.co/hF5lKP5kTT",IanDunt
,2/14/2019 23:18,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IT'S ABOUT TIME! Top NASA Global Warming Scientist WALKS BACK Global Warming Claims! ""I'm Not Sure that Climate Cha… https://t.co/CRit5nWQ98",gatewaypundit
,2/15/2019 17:12,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“I’ve had a hard winter, that’s how I know global warming isn’t real”",trunick18
,2/15/2019 17:12,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IfkovicsA @paulkrugman P4)....year to 20 billion ton/yr by 2030. Then by 2050, we have to be near zero CO2 emissio… https://t.co/hwH6QWjAme",AvengingLiberal
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @aripap: @spieldogg @AOC Amazon should pay taxes. People should have better healthcare. We should invest in anti-global warming activiti…,Constante40
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@cgsneal @HomeboyHotel @SamGyimah The only people who are cranks and dubious are the ones that use global warming as a tax raising exercise.,Yorkshire_Hero
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Hozier king of preventing global warming with a single tweet,chaosouls
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@mikek37024 @TheBenSchmie @KEEMSTAR Guys look, another trump fan that doesn’t know the difference between global warming and climate change.",hockeymaster_91
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @EndaBardell: STILL STANDING, watercolour, of the Boreal Forest, rapidly shrinking due to global warming. With sadness we drove the spec…",SoniaMocnik
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","20 degrees outside and 5 inches of new snow, sure am glad of global warming or climate change what ever the looney left calls it now",rwtalley1986
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IanDunt: Masses of kids outside parliament right now, carrying homemade placards, protesting against global warming. After last night's…",dogbiscuituk
,2/15/2019 17:11,"[{'text': 'climatechange', 'indices': [69, 83]}, {'text': 'oceans', 'indices': [84, 91]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Global Warming Will Even Change the Color of the Oceans, Study Finds #climatechange #oceans https://t.co/prDZk1wr92",EcoUprising2016
,2/15/2019 17:11,[],en,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",Man confuses global warming with laid turf https://t.co/Tmzo6jBuxY,TorbsTalks
,2/14/2019 4:41,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UPROAR AS Zambia plans to slaughter 2,000 hippos to control overpopulation; conservationists claim it is a plot to… https://t.co/Ki0cmRYw0V",NationBreaking
,2/15/2019 17:04,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Rob_Faraway I recall the responsible mindset concerned about overpopulation &amp; sustainability, which arguably might… https://t.co/lcMNk2X0Hy",victorshannock
,2/15/2019 17:04,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","In our Roots of Contemporary Problems simulation, my students have already experienced overpopulation, cultural ass… https://t.co/tZdlr8kEsD",teachingisfire
,2/15/2019 16:55,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@alexsobel Hi Alex,great that the young are actually getting involved in climate change and your encouraging them.… https://t.co/j0jf5cAl4C",egPFriend
,2/15/2019 16:55,"[{'text': 'ClimateChange', 'indices': [0, 14]}, {'text': 'OverPopulation', 'indices': [30, 45]}]",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#ClimateChange in tandem with #OverPopulation constitute an appalling threat to future generations, including my ow… https://t.co/ZbTQ3K8eGL",KenBromfield1
,2/15/2019 16:50,[],en,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",@TheNelGOD I have two other totally fake problems: overpopulation and “the budget” (specifically “the debt”) both a… https://t.co/XMTYJppY2N,brad_schwartz
,2/15/2019 16:39,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @bog_beef: @Maarblek If you want them to tell the truth, look at their policy proposals regarding overpopulation.",Maarblek
,2/15/2019 16:28,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Penyrheolgerrig: @LoppyLinda @CarolineLucas If they are protesting, then why are they calling it a strike. The problem is the overpopul…",Penyrheolgerrig
,2/15/2019 16:26,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@GaryMaylin @sfawcus @N1_remainer @CarolineLucas Until you start tackling overpopulation by challenging institution… https://t.co/n5Y61C5Cjf,Penyrheolgerrig
,2/15/2019 16:07,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@_i0n @johnmcdonnellMP You do realize that volcanoes effect the climate more than anything! The second thing destro… https://t.co/zl8NbMi3KS,TheoWind72
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HeroFuture_HFE: Air pollution threatens many low and middle-income cities. The natives there may lack the resources to deal with the he…,ISPA_SunPower
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SaveWooltonWood: As evidence mounts about the harmful effects of air pollution Mayor Anderson needs to stop building on Liverpool parks…,PaulPaul49
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This Air Pollution Mask features ""lights that change according to surrounding air quality."" https://t.co/K5lANqlgc9",SouthCoastAQMD
,2/15/2019 17:10,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @highcountrynews: Unlike vascular plants, moss and lichen lack roots, so they must extract all the nutrients they need from the air. htt…",meyerslemon
,2/15/2019 17:08,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Do you consider air pollution in your consultations? Do you consider this in your own health?… https://t.co/7ufWO6w0Yl,Docs4Progress
,2/15/2019 17:04,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The comment period for this proposal to deregulate mercury pollution is open until March 25th. You can comment here https://t.co/jViwjGEKPm,HarvardEELP
,2/15/2019 17:04,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @pickledpuffin: Climate change is linked to pollution &amp; consumerism. Meat &amp; fish contain micro plastic, polluted air contains carcinogen…",jilliebinfrance
,2/15/2019 17:03,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @winberlygagrl: @ddale8 He doesn't understand the concept of climate. 
He constantly confuses it with air quality, pollution, &amp; weather.…",luxtine
,2/15/2019 17:02,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RichardBarrow: Correct me if I’m wrong, but having a diesel engine running continuously is contributing more pollution to the air than…",mr_sawlwin
